Time (sec),A/F Learning 1 (%),Boost (PSI),Calculated Load (g/rev),Dyn. Adv. Mult (DAM),Dynamic Adv. (°),Feedback Knock (°),Fine Knock Learn (°),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Intake Temp (° F),MAF (g/s),MAF Volt. (V),RPM (RPM),TD Boost Error (PSI),Throttle Pos. (%),Vehicle Speed (mph),Wastegate Duty (%)
0.000,-7.03,-10.21,0.29,1.000,0.00,0.00,0.00,33.3,3,32.00,90,11.48,1.64,2477,-0.25,9.0,35,0.00
0.088,-7.03,-10.36,0.28,1.000,0.00,0.00,0.00,33.3,3,30.50,90,9.72,1.56,2464,-0.34,8.6,35,0.00
0.192,-7.03,-10.56,0.25,1.000,0.00,0.00,0.00,33.3,3,28.50,90,7.85,1.50,2468,-0.25,7.5,35,0.00
0.278,-6.25,-10.92,0.22,1.000,0.00,0.00,0.00,33.3,3,27.00,90,7.29,1.48,2371,0.03,7.5,35,0.00
0.386,-6.25,-11.18,0.20,1.000,0.00,0.00,0.00,33.3,3,25.50,90,7.16,1.48,2377,0.25,7.5,35,0.00
0.491,-5.47,-11.28,0.19,1.000,0.00,0.00,0.00,33.3,3,24.00,90,7.33,1.48,2467,0.32,7.5,35,0.00
0.580,-5.47,-11.36,0.18,1.000,0.00,0.00,0.00,33.3,3,25.00,90,8.45,1.56,2380,1.26,9.8,35,41.18
0.678,-4.69,-11.13,0.20,1.000,0.00,0.00,0.00,33.3,3,26.50,90,12.07,1.76,2453,1.98,12.5,35,41.18
0.777,-4.69,-10.35,0.27,1.000,0.00,0.00,0.00,33.3,3,28.00,90,19.90,2.00,2466,3.26,16.5,35,41.18
0.874,-4.69,-8.95,0.42,1.000,0.00,0.00,0.00,66.7,3,9.00,90,31.01,2.20,2444,3.53,18.4,35,41.18
0.963,-5.47,-7.15,0.60,1.000,1.00,0.00,0.00,66.7,3,27.00,90,32.19,2.22,2372,1.67,18.4,35,41.18
1.069,-5.47,-6.25,0.70,1.000,2.20,0.00,0.00,66.7,3,24.50,90,32.25,2.22,2485,1.29,20.0,35,43.53
1.179,-5.47,-5.83,0.77,1.000,2.71,0.00,0.00,66.7,3,25.00,90,41.15,2.42,2485,5.06,23.5,35,45.10
1.267,-7.03,-4.23,0.89,1.000,3.57,0.00,0.00,66.7,3,25.00,90,42.54,2.42,2492,3.63,23.5,35,44.71
1.367,-7.03,-3.68,0.96,1.000,4.03,0.00,0.00,66.7,3,25.00,90,42.80,2.42,2433,3.23,23.5,36,44.71
1.464,-7.03,-3.54,0.99,1.000,4.20,0.00,0.00,66.7,3,26.00,90,45.50,2.48,2525,4.14,24.7,36,45.88
1.552,-7.03,-3.15,1.04,1.000,4.44,0.00,0.00,66.7,3,26.50,90,46.53,2.50,2521,4.11,25.1,36,45.88
1.660,-7.03,-2.84,1.08,1.000,4.66,0.00,0.00,66.7,3,26.00,90,48.46,2.52,2545,5.30,25.9,37,46.27
1.757,-7.03,-2.48,1.11,1.000,4.83,0.00,0.00,66.7,3,26.50,90,49.04,2.52,2556,4.45,25.1,37,45.88
1.866,-7.03,-2.40,1.12,1.000,4.89,0.00,0.00,66.7,3,27.50,90,47.54,2.50,2593,3.18,24.3,37,45.49
1.951,-7.03,-2.63,1.11,1.000,4.83,0.00,0.00,66.7,3,28.50,90,48.46,2.52,2614,3.22,24.7,37,45.10
2.049,-7.03,-2.49,1.11,1.000,4.90,0.00,0.00,66.7,3,29.50,90,51.21,2.56,2684,3.12,25.1,38,45.49
2.153,-7.03,-2.20,1.14,1.000,4.92,0.00,0.00,66.7,3,29.00,90,50.56,2.56,2641,2.81,24.7,38,45.10
2.240,-7.03,-2.24,1.14,1.000,4.92,0.00,0.00,66.7,3,29.00,90,51.50,2.56,2672,2.95,24.7,39,45.10
2.347,-6.25,-2.15,1.15,1.000,4.92,0.00,0.00,66.7,3,28.50,88,51.97,2.58,2748,2.49,24.7,39,44.71
2.445,-6.25,-2.12,1.16,1.000,4.92,0.00,0.00,66.7,3,29.00,88,52.43,2.58,2721,2.66,24.7,39,44.71
2.531,-5.47,-2.09,1.16,1.000,4.92,0.00,0.00,66.7,3,28.50,88,53.84,2.60,2738,2.59,24.7,39,44.71
2.634,-5.47,-1.87,1.18,1.000,4.92,0.00,0.00,100.0,3,28.00,88,54.75,2.62,2752,2.11,24.7,40,44.31
2.743,-5.47,-1.75,1.18,1.000,4.92,0.00,0.00,100.0,3,28.00,88,54.43,2.62,2769,2.26,24.7,40,44.31
2.848,-4.69,-1.75,1.18,1.000,4.92,0.00,0.00,100.0,3,28.50,88,54.58,2.62,2808,1.86,24.3,40,44.31
2.934,-4.69,-1.79,1.17,1.000,4.92,0.00,0.00,100.0,3,29.00,88,49.31,2.52,2878,-0.70,21.2,40,41.57
3.027,-4.69,-2.71,1.10,1.000,4.72,0.00,0.00,66.7,3,33.50,88,42.12,2.38,2838,-2.25,17.6,41,40.78
3.153,-4.69,-4.22,0.94,1.000,3.90,0.00,0.00,66.7,3,40.50,88,31.56,2.16,2836,-2.48,14.1,41,40.78
3.226,-4.69,-6.05,0.76,1.000,2.38,0.00,0.00,66.7,3,47.00,88,24.37,2.06,2846,-2.10,13.7,41,40.78
3.323,-4.69,-7.31,0.61,1.000,0.92,0.00,0.00,66.7,3,45.50,88,21.41,1.98,2878,-1.36,12.9,41,40.78
3.431,-5.47,-8.05,0.50,1.000,0.00,0.00,0.00,66.7,3,45.00,88,18.29,1.92,2865,-1.17,11.8,42,40.78
3.520,-5.47,-8.65,0.43,1.000,0.00,0.00,0.00,33.3,3,45.00,88,16.14,1.84,2935,-0.82,11.0,42,40.78
3.613,-7.03,-9.28,0.37,1.000,0.00,0.00,0.00,33.3,3,44.50,88,13.75,1.76,2827,-0.70,10.2,42,40.78
3.718,-7.03,-9.79,0.31,1.000,0.00,0.00,0.00,33.3,3,41.00,88,11.81,1.68,2877,-0.55,9.0,42,0.00
3.818,-7.03,-10.25,0.27,1.000,0.00,0.00,0.00,33.3,3,37.00,88,10.52,1.64,2844,-0.51,8.6,42,0.00
3.904,-7.03,-10.55,0.24,1.000,0.00,0.00,0.00,33.3,3,32.50,88,8.92,1.58,2822,-0.28,8.6,42,0.00
4.013,-7.03,-10.87,0.20,1.000,0.00,0.00,0.00,33.3,3,28.50,88,8.92,1.58,2828,-0.09,8.2,42,0.00
4.112,-6.25,-11.05,0.19,1.000,0.00,0.00,0.00,33.3,3,24.50,88,8.63,1.56,2840,0.08,8.2,42,0.00
4.201,-6.25,-11.12,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.54,1.56,2891,0.14,8.2,41,0.00
4.296,-5.47,-11.16,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.73,1.56,2868,0.12,8.2,41,0.00
4.402,-4.69,-11.13,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.54,1.56,2848,0.16,8.2,41,0.00
4.509,-4.69,-11.11,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.45,1.56,2852,0.14,8.2,41,0.00
4.594,-3.91,-11.16,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.54,1.56,2847,0.14,8.2,41,0.00
4.696,-3.91,-11.11,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.45,1.56,2830,0.12,8.2,41,0.00
4.800,-3.91,-11.07,0.17,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.49,1.56,2761,0.09,8.2,40,0.00
4.884,-3.12,-11.06,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.45,1.56,2818,0.08,8.2,40,0.00
4.989,-3.12,-11.06,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.45,1.56,2862,0.08,8.2,40,0.00
5.091,-2.34,-11.06,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.49,1.56,2752,0.08,8.2,40,0.00
5.176,-2.34,-11.07,0.18,1.000,0.00,0.00,0.00,33.3,3,24.00,88,8.36,1.54,2778,0.19,8.2,40,0.00
5.280,-2.34,-11.09,0.18,1.000,0.00,0.00,0.00,33.3,3,26.50,88,8.59,1.58,2800,0.83,10.2,40,40.78
5.386,-2.34,-10.84,0.19,1.000,0.00,0.00,0.00,33.3,3,29.50,88,14.06,1.82,2860,1.12,11.8,40,40.78
5.490,-2.34,-10.29,0.26,1.000,0.00,0.00,0.00,33.3,3,32.00,90,14.80,1.80,2812,0.68,11.0,40,40.78
5.576,-2.34,-10.14,0.28,1.000,0.00,0.00,0.00,33.3,3,34.50,90,12.93,1.74,2767,0.55,11.0,40,40.78
5.680,-2.34,-10.25,0.28,1.000,0.00,0.00,0.00,33.3,3,36.00,90,12.79,1.74,2766,0.57,11.0,40,40.78
5.785,-3.12,-10.31,0.27,1.000,0.00,0.00,0.00,33.3,3,36.00,90,12.79,1.74,2790,0.57,11.0,40,40.78
5.870,-3.12,-10.33,0.27,1.000,0.00,0.00,0.00,33.3,3,35.00,90,12.65,1.74,2762,0.58,11.0,40,40.78
5.968,-3.12,-10.33,0.27,1.000,0.00,0.00,0.00,33.3,3,33.50,90,12.93,1.76,2790,0.64,11.0,40,40.78
6.071,-3.12,-10.33,0.27,1.000,0.00,0.00,0.00,33.3,3,32.50,90,13.19,1.76,2766,0.63,11.0,40,40.78
6.158,-3.91,-10.32,0.28,1.000,0.00,0.00,0.00,33.3,3,32.00,90,13.64,1.78,2777,0.52,11.4,40,40.78
6.257,-3.91,-10.21,0.29,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.64,1.80,2773,0.31,11.4,40,40.78
6.364,-3.91,-10.09,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.67,1.80,2782,0.25,11.4,40,40.78
6.464,-3.91,-10.04,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.42,1.80,2758,0.22,11.4,40,40.78
6.553,-4.69,-10.07,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.45,1.78,2782,0.26,11.4,40,40.78
6.651,-4.69,-10.06,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.59,1.78,2768,0.27,11.4,40,40.78
6.761,-4.69,-10.06,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.40,1.80,2784,0.25,11.4,40,40.78
6.847,-4.69,-10.06,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.59,1.80,2760,0.23,11.4,40,40.78
6.952,-4.69,-10.04,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.77,1.80,2781,0.23,11.4,40,40.78
7.048,-4.69,-10.04,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.83,1.80,2771,0.37,11.8,40,40.78
7.158,-4.69,-10.00,0.32,1.000,0.00,0.00,0.00,33.3,3,32.50,90,16.41,1.84,2775,0.48,12.5,40,40.78
7.242,-5.47,-9.75,0.34,1.000,0.00,0.00,0.00,33.3,3,33.00,90,16.66,1.86,2791,0.26,12.5,40,40.78
7.340,-5.47,-9.63,0.35,1.000,0.00,0.00,0.00,33.3,3,33.00,90,17.29,1.86,2764,0.10,12.5,40,40.78
7.448,-7.03,-9.58,0.36,1.000,0.00,0.00,0.00,33.3,3,33.50,90,16.70,1.84,2790,-0.08,11.8,40,40.78
7.532,-7.03,-9.66,0.35,1.000,0.00,0.00,0.00,33.3,3,33.00,90,14.93,1.80,2762,-0.23,11.0,40,40.78
7.638,-7.03,-9.87,0.33,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.06,1.76,2778,-0.18,11.0,40,40.78
7.736,-7.03,-10.06,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,90,13.52,1.74,2764,-0.17,10.6,40,40.78
7.825,-7.03,-10.24,0.30,1.000,0.00,0.00,0.00,33.3,3,32.00,90,12.81,1.72,2777,-0.32,9.4,40,0.00
7.932,-7.03,-10.44,0.28,1.000,0.00,0.00,0.00,33.3,3,30.00,88,10.75,1.64,2812,-0.39,9.0,40,0.00
8.029,-7.03,-10.71,0.24,1.000,0.00,0.00,0.00,33.3,3,28.50,88,9.60,1.60,2784,-0.26,9.0,40,0.00
8.136,-7.03,-10.91,0.22,1.000,0.00,0.00,0.00,33.3,3,27.00,88,9.41,1.60,2761,-0.01,9.0,40,0.00
8.227,-6.25,-11.02,0.21,1.000,0.00,0.00,0.00,33.3,3,25.50,88,9.51,1.62,2698,0.04,9.0,40,0.00
8.325,-5.47,-11.06,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,88,9.51,1.60,2755,0.10,9.0,40,0.00
8.431,-5.47,-11.09,0.20,1.000,0.00,0.00,0.00,33.3,3,24.50,90,9.85,1.66,2698,0.90,11.4,40,40.78
8.510,-5.47,-10.75,0.22,1.000,0.00,0.00,0.00,33.3,3,3.00,90,15.09,1.84,2810,0.80,12.2,40,40.78
8.617,-7.03,-10.17,0.28,1.000,0.00,0.00,0.00,33.3,3,28.00,90,15.18,1.82,2788,0.31,11.4,40,40.78
8.714,-7.03,-10.04,0.30,1.000,0.00,0.00,0.00,33.3,3,29.50,90,14.06,1.80,2768,0.25,11.4,40,40.78
8.802,-7.03,-10.09,0.30,1.000,0.00,0.00,0.00,33.3,3,31.50,90,14.23,1.80,2748,0.27,11.4,40,40.78
8.906,-7.03,-10.09,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.14,1.80,2803,0.34,11.4,40,40.78
9.014,-7.03,-10.09,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.31,1.80,2788,0.33,11.4,40,40.78
9.111,-7.03,-10.09,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.37,1.80,2768,0.28,11.4,40,40.78
9.194,-7.03,-10.06,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.57,1.80,2764,0.21,11.4,40,40.78
9.301,-7.03,-10.04,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.31,1.80,2747,0.16,11.4,40,40.78
9.410,-7.03,-10.03,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.22,1.78,2796,0.27,11.4,40,40.78
9.485,-7.03,-10.08,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.18,1.78,2777,0.21,11.4,40,40.78
9.591,-7.03,-10.11,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.23,1.78,2753,0.19,11.4,40,40.78
9.700,-7.03,-10.09,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.19,1.78,2773,0.21,11.4,40,40.78
9.804,-7.03,-10.08,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.24,1.78,2776,0.20,11.4,40,40.78
9.888,-7.03,-10.08,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.63,1.78,2796,0.20,11.4,40,40.78
9.987,-7.03,-10.09,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.62,1.80,2771,0.25,11.4,40,40.78
10.092,-7.03,-10.08,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.58,1.78,2780,0.24,11.4,40,40.78
10.179,-7.03,-10.05,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,88,14.86,1.80,2770,0.24,11.8,40,40.78
10.285,-7.03,-9.96,0.32,1.000,0.00,0.00,0.00,33.3,3,32.50,90,15.29,1.82,2799,0.19,11.8,40,40.78
10.388,-7.03,-9.90,0.32,1.000,0.00,0.00,0.00,33.3,3,33.00,90,15.59,1.82,2779,0.12,11.8,40,40.78
10.476,-7.03,-9.86,0.33,1.000,0.00,0.00,0.00,33.3,3,33.00,90,15.47,1.80,2784,-0.03,11.4,40,40.78
10.569,-7.03,-9.90,0.32,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.30,1.76,2780,0.02,11.0,40,40.78
10.682,-7.03,-10.03,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,90,13.89,1.76,2788,0.13,11.0,40,40.78
10.780,-7.03,-10.07,0.30,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.45,1.78,2771,0.16,11.4,40,40.78
10.868,-7.03,-10.05,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.59,1.78,2776,0.01,11.4,40,40.78
10.967,-7.03,-10.02,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,90,14.73,1.78,2796,-0.12,11.0,40,40.78
11.074,-7.03,-10.09,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,90,13.31,1.74,2766,-0.16,10.2,40,40.78
11.158,-7.03,-10.26,0.29,1.000,0.00,0.00,0.00,33.3,3,32.00,90,12.42,1.70,2779,-0.15,9.8,40,40.78
11.265,-7.03,-10.43,0.27,1.000,0.00,0.00,0.00,33.3,3,32.00,90,11.74,1.68,2754,-0.26,9.4,40,40.78
11.362,-7.03,-10.57,0.26,1.000,0.00,0.00,0.00,33.3,3,32.00,90,10.94,1.64,2784,-0.08,9.4,40,40.78
11.459,-7.03,-10.70,0.24,1.000,0.00,0.00,0.00,33.3,3,32.00,90,11.21,1.66,2758,-0.05,9.4,40,40.78
11.552,-7.03,-10.74,0.24,1.000,0.00,0.00,0.00,33.3,3,32.00,90,10.99,1.64,2778,-0.07,9.0,40,40.78
11.661,-7.03,-10.81,0.23,1.000,0.00,0.00,0.00,33.3,3,32.00,90,10.34,1.60,2753,-0.06,9.0,40,41.18
11.759,-7.03,-10.87,0.22,1.000,0.00,0.00,0.00,33.3,3,32.00,90,10.23,1.62,2773,-0.03,9.0,40,41.18
11.848,-7.03,-10.88,0.22,1.000,0.00,0.00,0.00,33.3,3,30.50,90,9.41,1.60,2810,-0.07,9.0,40,0.00
11.948,-7.03,-10.92,0.21,1.000,0.00,0.00,0.00,33.3,3,29.00,90,9.51,1.60,2696,0.03,9.0,40,0.00
12.052,-6.25,-11.00,0.20,1.000,0.00,0.00,0.00,33.3,3,27.50,90,9.46,1.62,2810,0.14,9.0,40,0.00
12.141,-6.25,-11.04,0.20,1.000,0.00,0.00,0.00,33.3,3,26.00,90,9.51,1.60,2742,0.14,9.0,40,0.00
12.237,-5.47,-11.07,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.41,1.60,2727,0.06,9.0,39,0.00
12.346,-4.69,-11.05,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.51,1.62,2738,0.14,9.0,39,0.00
12.444,-4.69,-11.00,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.26,1.60,2722,0.13,9.0,39,0.00
12.532,-3.91,-10.99,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.55,1.60,2731,0.08,9.0,39,0.00
12.639,-3.91,-10.98,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.70,1.62,2706,0.08,9.0,39,0.00
12.738,-3.12,-10.96,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.60,1.62,2685,-0.03,9.0,39,0.00
12.823,-3.12,-10.94,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.60,1.62,2719,-0.08,9.0,39,0.00
12.926,-3.12,-10.88,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.41,1.60,2749,-0.13,9.0,39,0.00
13.033,-2.34,-10.87,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.26,1.60,2635,-0.13,9.0,39,0.00
13.118,-2.34,-10.86,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.60,1.62,2733,-0.12,8.6,39,0.00
13.223,-2.34,-10.86,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.31,1.60,2666,-0.12,8.6,39,0.00
13.326,-1.56,-10.90,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,90,9.16,1.60,2676,-0.09,8.6,39,0.00
13.432,-1.56,-10.90,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.36,1.60,2652,-0.09,8.6,39,0.00
13.516,-1.56,-10.90,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.12,1.60,2646,-0.09,8.6,39,0.00
13.620,-0.78,-10.91,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.12,1.60,2652,-0.09,8.6,38,0.00
13.715,-0.78,-10.90,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.12,1.60,2629,-0.11,8.6,38,0.00
13.804,-0.78,-10.90,0.20,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.12,1.60,2620,-0.09,8.6,38,0.00
13.904,-0.78,-10.90,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.26,1.60,2565,-0.09,8.6,38,0.00
14.008,0.00,-10.90,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.31,1.60,2622,-0.11,8.6,38,0.00
14.090,0.00,-10.90,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,91,8.97,1.58,2599,-0.09,8.6,37,0.00
14.203,0.00,-10.90,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.07,1.58,2587,-0.09,8.6,37,0.00
14.306,0.00,-10.90,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.12,1.58,2601,-0.09,8.6,37,0.00
14.410,0.00,-10.91,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,91,9.02,1.58,2587,-0.08,8.6,37,0.00
14.495,0.78,-10.90,0.21,1.000,0.00,0.00,0.00,33.3,3,24.00,91,8.92,1.58,2567,0.01,8.6,37,41.18
14.599,0.78,-10.90,0.21,1.000,0.00,0.00,0.00,33.3,3,26.00,91,9.99,1.64,2603,0.45,9.8,37,41.18
14.702,0.78,-10.71,0.22,1.000,0.00,0.00,0.00,33.3,3,27.50,91,11.60,1.70,2502,0.38,10.2,37,41.18
14.788,0.00,-10.54,0.25,1.000,0.00,0.00,0.00,33.3,3,29.00,91,11.37,1.68,2585,0.17,10.2,37,41.18
14.882,0.00,-10.43,0.26,1.000,0.00,0.00,0.00,33.3,3,30.50,91,11.72,1.70,2583,0.13,10.2,37,41.18
14.995,-0.78,-10.42,0.26,1.000,0.00,0.00,0.00,33.3,3,32.00,91,11.54,1.70,2583,0.15,10.2,37,41.18
15.091,-0.78,-10.40,0.26,1.000,0.00,0.00,0.00,33.3,3,32.00,91,11.31,1.68,2562,0.21,9.8,37,41.18
15.179,-0.78,-10.45,0.26,1.000,0.00,0.00,0.00,33.3,3,32.00,91,10.43,1.64,2508,0.27,9.4,37,41.18
15.286,-1.56,-10.63,0.25,1.000,0.00,0.00,0.00,33.3,3,32.00,91,10.09,1.64,2585,0.39,9.4,37,41.18
15.384,-1.56,-10.69,0.24,1.000,0.00,0.00,0.00,33.3,3,32.00,91,10.30,1.64,2570,0.42,9.4,37,41.18
15.472,-1.56,-10.75,0.24,1.000,0.00,0.00,0.00,33.3,3,32.00,91,9.97,1.62,2609,0.26,9.0,37,41.18
15.576,-2.34,-10.85,0.23,1.000,0.00,0.00,0.00,33.3,3,32.00,91,9.60,1.60,2582,0.19,8.6,37,41.18
15.676,-1.56,-10.98,0.22,1.000,0.00,0.00,0.00,33.3,3,32.00,93,9.34,1.58,2586,0.20,8.2,37,41.18
15.763,-1.56,-11.07,0.22,1.000,0.00,0.00,0.00,33.3,3,32.00,93,8.50,1.54,2504,0.29,7.8,37,41.18
15.869,-1.56,-11.22,0.21,1.000,0.00,0.00,0.00,33.3,3,32.00,93,8.26,1.54,2563,0.44,7.8,37,41.18
15.966,-0.78,-11.28,0.20,1.000,0.00,0.00,0.00,33.3,3,32.00,93,8.19,1.52,2578,0.54,8.2,37,41.18
16.073,-0.78,-11.28,0.19,1.000,0.00,0.00,0.00,33.3,3,32.00,93,8.36,1.56,2568,0.45,8.2,37,41.18
16.161,-0.78,-11.28,0.19,1.000,0.00,0.00,0.00,33.3,3,32.00,93,8.45,1.54,2558,0.47,8.2,37,41.18
16.266,-0.78,-11.28,0.19,1.000,0.00,0.00,0.00,33.3,3,32.00,93,8.19,1.54,2590,0.38,7.8,37,41.18
16.361,0.00,-11.31,0.19,1.000,0.00,0.00,0.00,33.3,3,31.00,93,7.67,1.52,2573,0.34,7.5,37,0.00
16.450,0.00,-11.39,0.18,1.000,0.00,0.00,0.00,33.3,3,30.00,93,7.59,1.50,2540,0.44,7.8,37,0.00
16.549,0.00,-11.43,0.18,1.000,0.00,0.00,0.00,33.3,3,28.00,93,7.50,1.50,2563,0.44,7.5,37,0.00
16.654,0.00,-11.45,0.18,1.000,0.00,0.00,0.00,33.3,3,26.50,93,7.50,1.50,2542,0.56,8.2,37,0.00
16.743,0.78,-11.43,0.18,1.000,0.00,0.00,0.00,33.3,3,25.00,93,8.06,1.54,2496,0.51,8.2,37,41.57
16.841,0.78,-11.38,0.18,1.000,0.00,0.00,0.00,33.3,3,26.00,93,8.11,1.54,2496,0.45,8.2,37,41.57
16.945,0.78,-11.32,0.18,1.000,0.00,0.00,0.00,33.3,3,27.50,93,8.15,1.54,2571,0.47,8.2,37,41.57
17.054,0.78,-11.28,0.19,1.000,0.00,0.00,0.00,33.3,3,29.50,93,8.19,1.54,2540,0.43,8.2,37,41.57
17.132,0.78,-11.32,0.19,1.000,0.00,0.00,0.00,33.3,3,31.00,93,8.19,1.54,2534,0.48,8.2,37,41.57
17.239,0.78,-11.30,0.19,1.000,0.00,0.00,0.00,33.3,3,32.00,93,8.45,1.56,2545,0.67,8.6,37,41.57
17.346,0.78,-11.24,0.19,1.000,0.00,0.00,0.00,33.3,3,32.00,93,9.46,1.62,2543,0.98,9.4,37,41.57
17.424,1.56,-11.01,0.21,1.000,0.00,0.00,0.00,33.3,3,32.00,93,11.45,1.72,2509,1.49,11.4,37,41.57
17.531,0.78,-10.51,0.25,1.000,0.00,0.00,0.00,33.3,3,32.00,93,13.86,1.78,2578,1.01,11.4,37,41.57
17.636,0.78,-10.17,0.29,1.000,0.00,0.00,0.00,33.3,3,32.00,93,14.02,1.80,2538,0.74,11.4,37,41.57
17.745,0.00,-9.95,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,93,14.29,1.78,2612,0.41,11.4,37,41.57
17.824,0.00,-9.85,0.32,1.000,0.00,0.00,0.00,33.3,3,32.50,93,13.40,1.76,2506,0.17,11.0,37,41.57
17.930,-0.78,-9.97,0.31,1.000,0.00,0.00,0.00,33.3,3,32.50,93,12.87,1.74,2558,0.25,10.6,37,41.57
18.039,-0.78,-10.11,0.30,1.000,0.00,0.00,0.00,33.3,3,32.00,93,11.84,1.70,2575,0.12,9.8,37,41.57
18.126,-0.78,-10.31,0.28,1.000,0.00,0.00,0.00,33.3,3,32.00,93,10.63,1.64,2617,0.41,9.4,37,41.57
18.216,-1.56,-10.52,0.26,1.000,0.00,0.00,0.00,33.3,3,32.00,93,11.30,1.68,2562,0.61,10.2,37,41.57
18.323,-1.56,-10.48,0.27,1.000,0.00,0.00,0.00,33.3,3,32.00,93,11.95,1.70,2570,0.49,10.2,37,41.57
18.409,-1.56,-10.39,0.27,1.000,0.00,0.00,0.00,33.3,3,32.00,93,11.51,1.66,2584,0.17,9.0,37,0.00
18.517,-2.34,-10.50,0.26,1.000,0.00,0.00,0.00,33.3,3,31.00,93,9.86,1.62,2587,-0.07,8.6,37,0.00
18.614,-2.34,-10.71,0.24,1.000,0.00,0.00,0.00,33.3,3,29.50,93,9.03,1.56,2616,-0.08,7.8,37,0.00
18.721,-2.34,-10.96,0.22,1.000,0.00,0.00,0.00,33.3,3,27.50,93,7.85,1.52,2540,0.08,7.8,37,0.00
18.799,-1.56,-11.24,0.20,1.000,0.00,0.00,0.00,33.3,3,26.00,93,7.42,1.50,2580,0.32,7.8,37,0.00
